admission_number,password,name
1230001,pass1,Student 1
1230002,pass2,Student 2
1230003,pass3,Student 3
1230004,pass4,Student 4
1230005,pass5,Student 5
1230006,pass6,Student 6
1230007,pass7,Student 7
1230008,pass8,Student 8
1230009,pass9,Student 9
1230010,pass10,Student 10
1230011,pass11,Student 11
1230012,pass12,Student 12
1230013,pass13,Student 13
1230014,pass14,Student 14
1230015,pass15,Student 15
1230016,pass16,Student 16
1230017,pass17,Student 17
1230018,pass18,Student 18
1230019,pass19,Student 19
1230020,pass20,Student 20
